Url,Pays,Etat,Province,Ville,Nom,Adresse,Postal,Téléphone,Email,Site,GPS
https://fre.cityhallworldwide.com/mairie-en-autriche/kapellenstrae-i105603/,Autriche,Haute-Autriche,Politischer bezirk steyr-land,Pfarrkirchen bei bad hall,kapellenstraße,"kapellenstraße, 4540 feyregg, austria",4540,Information non disponible,Information non disponible,Information non disponible,"48.0315, 14.18755"
https://fre.cityhallworldwide.com/mairie-en-autriche/pfarrkirchen-bei-bad-hall-i105481/,Autriche,Haute-Autriche,Politischer bezirk steyr-land,Pfarrkirchen bei bad hall,pfarrkirchen bei bad hall,"pfarrkirchen bei bad hall, austria",austria,Information non disponible,Information non disponible,Information non disponible,"48.02993, 14.19943"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-ottnang-am-hausruck-i105210/,Autriche,Haute-Autriche,Politischer bezirk vöcklabruck,Manning,gemeindeamt ottnang am hausruck,"niederottnang 26, 4901, austria",4901,Information non disponible,Information non disponible,Information non disponible,"48.09639, 13.66183"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeindeamt-wilhering-i105254/,Autriche,Haute-Autriche,Politischer bezirk urfahr umgebung,Ottensheim,marktgemeindeamt wilhering,"linzerstr. 14, 4073 ufer, austria",4073,Information non disponible,Information non disponible,http://www.wilhering.at/,"48.32829, 14.17998"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeindeamt-weyer-i105230/,Autriche,Haute-Autriche,Politischer bezirk steyr-land,Weyer,marktgemeindeamt weyer,"marktpl. 8, 3335 weyer, austria",3335,07355 7665,Information non disponible,Information non disponible,"47.85748, 14.66451"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-rainbach-im-innkreis-i105419/,Autriche,Haute-Autriche,Politischer bezirk schärding,Sankt florian am inn,gemeindeamt rainbach im innkreis,"rainbach im innkreis 51, 4791 rainbach im innkreis, austria",4791,Information non disponible,Information non disponible,Information non disponible,"48.45582, 13.5354"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-pfarrkirchen-i105719/,Autriche,Haute-Autriche,Politischer bezirk rohrbach,Pfarrkirchen im mühlkreis,gemeindeamt pfarrkirchen,"pfarrkirchen im mühlkreis 13, 4141 pfarrkirchen im mühlkreis, austria",4141,07285 415,Information non disponible,http://www.pfarrkirchen.at/,"48.50381, 13.82588"
https://fre.cityhallworldwide.com/mairie-en-autriche/rathausgasse-i129023/,Autriche,Haute-Autriche,Politischer bezirk ried im innkreis,Ried im innkreis,rathausgasse,"rathausgasse, 4910 ried im innkreis, austria",4910,Information non disponible,Information non disponible,Information non disponible,"48.2103, 13.48819"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-pabneukirchen-i105579/,Autriche,Haute-Autriche,Politischer bezirk perg,Bad kreuzen,gemeindeamt pabneukirchen,"markt 16, 4363 pabneukirchen, austria",4363,07265 5255,Information non disponible,http://www.pabneukirchen.at/,"48.32108, 14.81748"
https://fre.cityhallworldwide.com/mairie-en-autriche/stadtturm-enns-i105397/,Autriche,Haute-Autriche,Politischer bezirk linz land,Enns,stadtturm enns,"enns, austria",4470,Information non disponible,Information non disponible,Information non disponible,"48.21403, 14.47937"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-vorderstoder-i105748/,Autriche,Haute-Autriche,Politischer bezirk kirchdorf an der krems,Rossleithen,gemeindeamt vorderstoder,"vorderstoder 66, 4574 vorderstoder, austria",4574,Information non disponible,Information non disponible,Information non disponible,"47.71265, 14.22484"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-tollet-i105653/,Autriche,Haute-Autriche,Politischer bezirk grieskirchen,Grieskirchen,gemeindeamt tollet,"tollet 1, 4710 tollet, austria",4710,07248 62401,Information non disponible,http://www.tollet.at/,"48.2447, 13.79824"
