name,habitat,historical_period,size_weight,characterstics,image_url
,"Probactrosaurus (Greek for ""before Bactrosaurus""); pronounced PRO-back-tro-SORE-us",,,Early Cretaceous (110-100 million years ago),https://www.thoughtco.com/thmb/DGgeqqSc96Jfj-rVWF_yEIkZGpw=/1200x900/filters:no_upscale():max_bytes(150000):strip_icc()/1200px-Dinosaurium_Probactrosaurus_gobiensis_2-5c54906846e0fb000152e712.jpg
,"Prosaurolophus (Greek for ""before the crested lizards""); pronounced PRO-sore-OLL-oh-fuss",,,Late Cretaceous (75 million years ago),https://www.thoughtco.com/thmb/YIqz4ZxLcVYIp-NU7bJSw0sJZnA=/1024x560/filters:no_upscale():max_bytes(150000):strip_icc()/prosaurolophusWC-56a255915f9b58b7d0c920fc.jpg
,"Rhinorex (Greek for ""nose king""); pronounced RYE-no-rex",,,Late Cretaceous (75 million years ago),https://www.thoughtco.com/thmb/CodhKruj23N3t3KSOuEyxiZoUXM=/1900x1069/filters:no_upscale():max_bytes(150000):strip_icc()/Rhinorex-deinosuchus.ngsversion.1522277269827.adapt.1900.1-5c54bd5ec9e77c0001329829.jpg
,"Sahaliyania (Manchurian for ""black""); pronounced SAH-ha-lee-ON-ya",,,Late Cretaceous (70-65 million years ago),https://www.thoughtco.com/thmb/ikcqv-VYZvWIl2kYyjM5gXFTVJI=/1438x1109/filters:no_upscale():max_bytes(150000):strip_icc()/Sahaliyania_restoration-5c54be2546e0fb00013fae75.jpg
,"Saurolophus (Greek for ""crested lizard""); pronounced sore-OLL-oh-fuss",,,Late Cretaceous (70 million years ago),https://www.thoughtco.com/thmb/BX0jMbLHrjEbjdfcGymZZ0QEyVg=/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Saurolophus-58d294965f9b581d72e34eb0.jpg
DEA PICTURE LIBRARY/Getty Images,,,Woodlands of South America,,https://www.thoughtco.com/thmb/6KYIoAdqEjw6qB9BzvLcWVMs6yE=/2082x1440/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-73686322-5c54bf1f4cedfd0001efdbb4.jpg
,"Shantungosaurus (Greek for ""Shantung lizard""); pronounced shan-TUNG-oh-SORE-us",,,Late Cretaceous (70-65 million years ago),https://www.thoughtco.com/thmb/WjEjNWV6AGZBXbkmyzB-8ShBIgY=/1200x551/filters:no_upscale():max_bytes(150000):strip_icc()/1200px-Shantungosaurus-v4-5c54bfb3c9e77c000132982b.jpg
,"Tanius (""of Tan""); pronounced TAN-ee-us",,,Late Cretaceous (80-65 million years ago),https://www.thoughtco.com/thmb/rrNaOzPjbPt1a2ZOrNofJGCs8ww=/1650x1275/filters:no_upscale():max_bytes(150000):strip_icc()/tanius-5c54c09c46e0fb0001c08106.jpg
,"Telmatosaurus (Greek for ""marsh lizard""); pronounced tel-MAT-oh-SORE-us",,,Late Cretaceous (70-65 million years ago),https://www.thoughtco.com/thmb/bYWgb0v3vUvjmCafBcnFIAOi6-k=/800x368/filters:no_upscale():max_bytes(150000):strip_icc()/telmatosaurus-56a252d45f9b58b7d0c90b9a.jpg
,"Tsintaosaurus (Greek for ""Tsintao lizard""); pronounced JING-dow-SORE-us",,,Late Cretaceous (80 million years ago),https://www.thoughtco.com/thmb/0rOBc4LGF5ekBNgjWTsbJwoZYaM=/1024x466/filters:no_upscale():max_bytes(150000):strip_icc()/Tsintaosaurus-spinorhinus-steveoc86-5c54c1b3c9e77c000102bd8f.jpg
